text,label
Donasi untuk yatim,donation
Sumbangan obat-obatan,donation
Infak di hari berkah,donation
Donasi untuk korban banjir,donation
Bayar infak kebersamaan,donation
Sumbangan alat tulis,donation
Donasi untuk panti jompo,donation
Infak ke masyarakat,donation
Sumbangan makanan ringan,donation
Donasi untuk korban longsor,donation
Infak di bulan suci,donation
Sedekah ke fakir,donation
Donasi untuk renovasi,donation
Bayar infak kebaikan,donation
Sumbangan buku,donation
Donasi untuk anak-anak,donation
Zakat hewan,donation
Infak ke pelajar,donation
Sedekah ke mahasiswa,donation
Bayar zakat uang,donation
Sumbangan peralatan masak,donation
Infak di malam sunnah,donation
Sedekah ke jompo,donation
Donasi untuk bencana,donation
Bayar infak sosial,donation
Sumbangan seragam,donation
Donasi untuk korban,donation
Zakat tabungan,donation
Infak ke orang tua,donation
Bayar zakat bisnis,donation
Sumbangan perabot,donation
Sedekah ke ibu-ibu,donation
Donasi untuk yatim piatu,donation
Bayar infak Ramadhan,donation
Sumbangan material,donation
Zakat mal dibayar,donation
Infak ke remaja,donation
Sedekah ke pemuda,donation
Bayar zakat fitrah,donation
Sumbangan tenaga,donation
Donasi untuk panti,donation
Infak di malam kemuliaan,donation
Sedekah ke jiran,donation
Sumbangan dana,donation
Zakat uang,donation
Infak ke wanita,donation
Sedekah ke keluarga,donation
Bayar zakat,donation
Sumbangan alat berat,donation
Infak di hari kemerdekaan,donation
Sedekah ke alim,donation
Bayar infak jumatan,donation
Sumbangan konsumsi,donation
Sedekah ke muslim,donation
Sumbangan perlengkapan,donation
Infak di hari mulia,donation
Sedekah ke kaum dhuafa,donation
Bayar infak,donation
Sumbangan dana pembangunan,donation
Zakat pertanian,donation
Infak ke masjid,donation
Sedekah ke yatim,donation
Sumbangan gizi,donation
Infak di bulan berkah,donation
Sedekah ke tunawisma,donation
Donasi untuk anak,donation
Bayar infak idul,donation
Sumbangan pangan,donation
Zakat emas dibayar,donation
Sedekah ke miskin,donation
Sumbangan air bersih,donation
Sumbangan perumahan,donation
Zakat perak,donation
Sedekah ke santri,donation
Sumbangan kesehatan,donation
Infak di bulan Ramadan,donation
Sumbangan pendidikan,donation
